order,station,post,lat,long,lat
1,竹橋,100-0003,千代田区一ツ橋１-１-１,139.756817,35.690662
2,大手町,100-0004,千代田区大手町１丁目,139.7662,35.686564
3,大手町,100-0004,千代田区大手町１丁目,139.766086,35.684801
4,大手町,100-0004,千代田区大手町１丁目,139.763399,35.686154
5,大手町,100-0004,千代田区大手町１丁目,139.764107,35.68686
6,大手町,100-0004,千代田区大手町１丁目,139.762959,35.684856
7,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
8,東京,100-0005,東京都千代田区丸の内一丁目9-1,139.766103,35.681391
9,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
10,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
11,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
12,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
13,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
14,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
15,東京,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391
16,東京,100-0005,東京都千代田区丸の内一丁目9-1,139.766103,35.681391
17,上野,100-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
18,東京,100-0005,東京都千代田区丸の内一丁目,139.764708,35.681753
19,二重橋前,100-0005,千代田区丸の内２丁目,139.761948,35.681071
20,有楽町,100-0006,東京都千代田区有楽町二丁目9,139.763806,35.675441
21,有楽町,100-0006,東京都千代田区有楽町二丁目9-17,139.763806,35.675441
22,日比谷,100-0006,千代田区有楽町１丁目,139.76017,35.67459
23,日比谷,100-0006,千代田区有楽町１丁目,139.758732,35.674241
24,有楽町,100-0006,東京都千代田区有楽町一丁目11-1,139.763265,35.675714
25,日比谷,100-0006,千代田区有楽町１丁目,139.759998,35.676036
26,内幸町,100-0011,千代田区内幸町２-２-３,139.75561,35.66975
27,霞ケ関,100-0013,千代田区霞が関２丁目,139.750899,35.673838
28,霞ケ関,100-0013,千代田区霞が関２丁目,139.750899,35.673838
29,霞ケ関,100-0013,千代田区霞が関２丁目,139.750899,35.673838
30,桜田門,100-0013,東京都千代田区霞が関二丁目1-1,139.75149,35.677405
31,溜池山王,100-0014,千代田区永田町２-１１-１,139.741419,35.673621
32,国会議事堂前,100-0014,千代田区永田町１丁目,139.745219,35.67393
33,国会議事堂前,100-0014,千代田区永田町１丁目,139.745219,35.67393
34,永田町,100-0014,東京都千代田区永田町一丁目11-28,139.740258,35.678757
35,永田町,100-0014,東京都千代田区永田町一丁目11-29,139.740258,35.678757
36,永田町,100-0014,東京都千代田区永田町一丁目11-28,139.740258,35.678757
37,溜池山王,100-0014,千代田区永田町２-１１-１,139.741419,35.673621
38,秋葉原,101-0021,東京都千代田区外神田一丁目17,139.773288,35.698619
39,秋葉原,101-0021,東京都千代田区外神田一丁目17-6,139.773288,35.698619
40,秋葉原,101-0021,東京都千代田区外神田一丁目17-6,139.773288,35.698619
